UID|number|genus|species|subspecies|variety|cultivar|synonym|form|affinity|ex|information|source|seeding_date|purchase_date|pot_width|pot_height|soil|description
365926||Sedum|morganianum|||||||||||30.05.2020||||Черенок украден в магазине цветов
397431||Opuntia|monacantha||variegata|||||||IKEA||25.05.2013||||
442904|VG242|Gymnocalycium|riojense|||||||||Sorokins||12.08.2021||||Диаметр: 15mm
513216||Crassula||||Buddha’s Tample||little size||||G. Aristov||02.07.2020||||Куплен за 500 руб.
637889|VG1242|Gymnocalycium|esperanzae|||||||||Sorokins||12.08.2021||||Диаметр: 15mm
021768||Echinofossulocactus|pentacanthus|||||||||M. Nikolaev|01.03.2016|27.05.2021||||
987355|WR718|Gymnocalycium|mucidum||ferrari|||||||Sorokins||12.08.2021||||Диаметр: 15mm
156037||Graptopetalum|mirinae|||||||||||21.07.2020||||
243748||Pachyveria||||Blue Mist||||||G. Aristov||02.07.2020||||Куплен за 450 руб.
659787|P131B|Gymnocalycium|occultum|||||||||Sorokins||12.08.2021||||Диаметр: 15mm
684852||Pachyphytum|oviferum|||Moonstone||pink||||G. Aristov||20.05.2020||||Куплена за 1200 руб.
920881||Echinopsis|subdenudata|||||||||||27.06.2020||||Получил в подарок от сестры Оли
051580|VG370|Gymnocalycium|spegazzinii||punilense|||||||K. Avakov||05.09.2021||||Куплен за 200 руб
306310||Crassula||||Morgan’s Beauty||||||G. Aristov||20.05.2020||||Куплен за 450 руб.
831458|SB1449|Glandulicactus|mathssonii|||||||||K. Avakov||05.09.2021||||Куплен за 150 руб
292863||Sedum|multiceps|||||||||G. Aristov||20.05.2020||||Куплена за  650 руб.
977433||Strombocactus|disciformis|||||||||D. Demin||04.09.2021||||Куплен за 250 руб. на CactusFest
244343||Gymnocalycium|vatteri|||||||||||06.09.2020||||Куплен на Cactus Fest
910132||Sedeveria|litizia|||||||||G. Aristov||02.07.2020||||Куплен за 500 руб.
171339||Astrophytum|asterias|||Superkabuto||||||M. Nikolaev|01.05.2017|27.07.2021||||Куплен за 350 руб
750420|VG671|Gymnocalycium|riojense|||||||||Sorokins||12.08.2021||||Диаметр: 15mm
533640||Haworthia|attenuata|||||||||G. Aristov||20.05.2020||||Подарок при заказе
121514|P124|Gymnocalycium|triacanthum|||||||||Sorokins||12.08.2021||||Диаметр: 20mm
602241||Haworthia|maughanii|||Aurora||||||perfect-seller-shop||26.06.2020||||Куплен на ebay за US $16.14 (Китай)
952539|VG052|Gymnocalycium|stellatum||kleinianum|||||||Sorokins||12.08.2021||||Диаметр: 15mm
922341||Sedum|adolphii|||||||||G. Aristov||20.05.2020||||Куплен за 200 руб.
041207||Gymnocalycium|vatteri|||Monospinum||||||M. Nikolaev||27.07.2021||||
537440||Pachyveria|pachyphytoides|||||||||G. Aristov||02.07.2020||||Подарок при заказе
238672||Gasteria|armstrongii|||||||||G. Aristov||02.07.2020||||Подарок при заказе
073287|VG302|Gymnocalycium|vatteri||altautiense|||||||M. Nikolaev|01.08.2017|23.06.2021||||
324341|LB811|Gymnocalycium|denudatum|||||||||A. Repetunov|06.10.2019|23.06.2021||||
